product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
,Red Tape,Colourblocked Round Toe Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/24/nE1zExAv_458f9b986f56400787f4cf1c60b84dcf.jpg",Rs. 991,Rs. 6199,,,,Organic,keyword
,Puma,FusionPro Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/27/x1sCESSa_0a7f5236779340fb955dcb3eaeb5b696.jpg",Rs. 3199,Rs. 7999,,,,Organic,keyword
,Roadster,Women Zippered Boots,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26176822/2023/12/1/91a32a25-daae-4e68-8c6a-0dde49cde3e91701446932447RoadsterWomenSBlackFauxLeatherCasualSlipOnBoots1.jpg",Rs. 1127,Rs. 4699,,,,Organic,keyword
,SZN,Women Block-Heel Winter Boots,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/10/NwSd9inu_2c447110f3644bf8b2c4a0fdcb3fdc63.jpg",Rs. 556,Rs. 1999,,,,Organic,keyword
,Lotto,Men Strada Vele Sneaker,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/6/5th6MNAy_9467d6a8628c43b1b08720da66218c81.jpg",Rs. 1436,Rs. 2624,,,,Organic,keyword
,Actual choice,Embroidered Ballerinas,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/24/J4vH7ew0_b2d6d8885edd412cbf220324b49a442b.jpg",Rs. 489,Rs. 1999,,,,Organic,keyword
,Snitch,Men Mid-Rise Baggy Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/23/ev0b4daG_f4b70bf78fb94a028813a545ef8ee06c.jpg",Rs. 1291,Rs. 3799,,,,Organic,keyword
,HIGHLANDER,Men Straight Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/15/TfAvWUj2_ca324a92c553475ea9b74f1986040468.jpg",Rs. 689,Rs. 2999,,,,Organic,keyword
,Marks & Spencer,Women Skinny Fit Cotton Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25070230/2023/9/20/f6b481f8-1573-464d-848b-1957a8eaa43d1695208399322MarksSpencerWomenNavyBlueSkinnyFitJeans1.jpg",Rs. 1289,Rs. 2999,,,,Organic,keyword
,Roadster,Men Pure Cotton Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28749636/2025/4/19/49f549c4-84de-4dfd-a1cd-b04613c71b151745001139077-The-Roadster-Lifestyle-Co-Men-Beige-Pure-Cotton-Rigid-Baggy--1.jpg",Rs. 950,Rs. 2499,,,,Organic,keyword
,Pepe Jeans,Men Regular Fit Mid-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/7/5pgQuVA9_d4688c62083d43bab9a2c156a2fbf732.jpg",Rs. 1035,Rs. 2799,,,,Organic,keyword
,Pepe Jeans,Boys Slim Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/14/ZwnKwF4l_e9efb4fdc1794bd8b506119600619382.jpg",Rs. 751,Rs. 1599,,,,Organic,keyword
,V-Mart,Men Regular Fit Mid-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/8/tZK0TTqr_1dab59649b3b4d9b8d33c616e78e12e8.jpg",Rs. 751,Rs. 799,,,,Organic,keyword
,HIGHLANDER,Men Straight Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/26/RZpZKArE_98a68cbae80747b08cb3c311aa18ca34.jpg",Rs. 599,Rs. 2999,,,,Organic,keyword
,StyleCast x Revolte,Men Wide Leg Mid-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/13/IH7CcvoO_7f5a0656a2784b05a4458b25c7952a20.jpg",Rs. 1319,Rs. 3999,,,,Organic,keyword
,Aadvi Fashion,Women High-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/7/xsCXyEcZ_4ce3c09561364546b6e098fed84e2c00.jpg",Rs. 672,Rs. 2999,,,,Organic,keyword
,Red Tape,Straight Fit Mid-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/12/b76c0Ltg_8cd3886dacdb45aa9c23a416c3646430.jpg",Rs. 829,Rs. 5799,,,,Organic,keyword
,max,Boys Mid-Rise Clean Look Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26128740/2023/11/29/4277625e-6d92-46ba-bb32-26615c72364d1701252087523maxBoysBlueJeans1.jpg",Rs. 539,Rs. 599,,,,Organic,keyword
,V-Mart,Women Regular Fit Mid-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/8/6g64cGwd_6cbf764c2dc0442a97512f687f39de45.jpg",Rs. 685,Rs. 699,,,,Organic,keyword
,Cantabil,Men Regular Fit Cotton Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22364260/2023/3/16/6daa9fd3-36d7-446e-9f1f-700df6ed8cf21678969674710CantabilMenBlueLightFadeEmbellishedStretchableJeans1.jpg",Rs. 924,Rs. 3699,,,,Organic,keyword
,Urbano Juniors,Boys Slim Fit Denim Joggers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11851558/2020/5/14/48b14f3a-22f7-4663-951b-28362558930a1589444558685-Urbano-Juniors-Boys-Grey-Slim-Fit-Jeans-4441589444558297-1.jpg",Rs. 727,Rs. 1399,,,,Organic,keyword
,StyleCast,Men Baggy Fit Mid-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/16/dnyWj04i_b771eb1511a94c19978b5e83ab6d4455.jpg",Rs. 645,Rs. 1699,,,,Organic,keyword
,MANGO,Women Regular Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/1/weFrjOL1_85b3cdff9ab84d2fa27883f4e375cf47.jpg",Rs. 1595,Rs. 3190,,,,Organic,keyword
,max,Girls Cotton Regular Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/11/mXBVt1bw_355d66fa7aea42a6b97fa6eb7de77f17.jpg",,,,,,Organic,keyword
,R.Code by The Roadster Life Co.,Women Wide Leg High-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/20/Eaxx5hT5_97c45214c9fb48c4a7a6216784e94295.jpg",Rs. 999,Rs. 2495,,,,Organic,keyword
,HIGHLANDER,Men Straight Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17434914/2022/3/8/d351ed9f-02c1-4262-93d7-540f6af618e11646720208713HIGHLANDERMenBlackStraightFitHighlyDistressedStretchableJean1.jpg",Rs. 599,Rs. 1499,,,,Organic,keyword
,Pepe Jeans,Boys Slim Fit Mid-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/15/pjToz7zs_1a2b3b345d0146ddac67dd39576050cd.jpg",Rs. 1011,Rs. 2199,,,,Organic,keyword
,Urbano Juniors,Boys Loose Baggy Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/16/jnKIswvw_5db9cb039c9c41d4914ee7253966ae3b.jpg",Rs. 944,Rs. 2099,,,,Organic,keyword
,Sztori,Men Plus Size Slim Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30139521/2024/9/14/f8bce89e-efcc-48a7-851e-c6b4caf3d7491726294374803-Sztori-Men-Jeans-8341726294374123-1.jpg",Rs. 867,Rs. 3099,,,,Organic,keyword
,Marks & Spencer,Boys Straight Leg Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/17/6WH1kghe_6df78743fbf44285b79d9681fdc8cb31.jpg",Rs. 1094,Rs. 1499,,,,Organic,keyword
,MULVARI,Women Wide Leg High-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/PZDwk5on_bbde0b11968c494b86fbf84cc6c2e735.jpg",Rs. 694,Rs. 4999,,,,Organic,keyword
,WROGN,Men Anti Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25482106/2023/12/5/8958216b-dcde-4022-964c-dc24de3234451701757842530-WROGN-Men-Jeans-2801701757842057-1.jpg",Rs. 1275,Rs. 2199,,,,Organic,keyword
,GAP,Girls Mid Rise Slim Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/4/oemqD2v4_33c933f25585419286fcbb871f90569f.jpg",,,,,,Organic,keyword
,Urbano Juniors,Boys Regular Fit Mid-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/16/Z4AxqaNc_8806d4f9977a46489c974355bf142cab.jpg",Rs. 835,Rs. 2199,,,,Organic,keyword
,WROGN,Men Relaxed Fit Mid-Rise Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33133462/2025/5/21/f7448b77-cdfa-4fb9-a64d-06360f02e4b61747800970256-WROGN-Men-Jeans-4591747800969541-1.jpg",Rs. 1275,Rs. 2199,,,,Organic,keyword
